id,annee,floraison/id,periode_start,periode_stop
__export__.apihelper_apifloraison_1,2016,__export__.apihelper_apiressource_1,2016-02-26,2016-03-23
__export__.apihelper_apifloraison_2,2016,__export__.apihelper_apiressource_2,2016-05-10,2016-06-30
__export__.apihelper_apifloraison_3,2016,__export__.apihelper_apiressource_5,2016-06-08,2016-06-29
__export__.apihelper_apifloraison_4,2016,__export__.apihelper_apiressource_4,2016-06-22,2016-07-14
__export__.apihelper_apifloraison_5,2015,__export__.apihelper_apiressource_1,2015-02-26,2015-03-23
__export__.apihelper_apifloraison_6,2015,__export__.apihelper_apiressource_2,2015-05-10,2015-06-30
__export__.apihelper_apifloraison_7,2015,__export__.apihelper_apiressource_5,2015-06-08,2015-06-29
__export__.apihelper_apifloraison_8,2015,__export__.apihelper_apiressource_4,2015-06-22,2015-07-14
__export__.apihelper_apifloraison_9,2014,__export__.apihelper_apiressource_1,2014-02-26,2014-03-23
__export__.apihelper_apifloraison_10,2014,__export__.apihelper_apiressource_2,2014-05-10,2014-06-30
__export__.apihelper_apifloraison_11,2014,__export__.apihelper_apiressource_5,2014-06-08,2014-06-29
__export__.apihelper_apifloraison_12,2014,__export__.apihelper_apiressource_4,2014-06-22,2014-07-14
__export__.apihelper_apifloraison_13,2013,__export__.apihelper_apiressource_1,2013-02-26,2013-03-23
__export__.apihelper_apifloraison_14,2013,__export__.apihelper_apiressource_2,2013-05-10,2013-06-30
__export__.apihelper_apifloraison_15,2013,__export__.apihelper_apiressource_5,2013-06-08,2013-06-29
__export__.apihelper_apifloraison_16,2013,__export__.apihelper_apiressource_4,2013-06-22,2013-07-14
__export__.apihelper_apifloraison_17,2012,__export__.apihelper_apiressource_1,2012-02-26,2012-03-23
__export__.apihelper_apifloraison_18,2012,__export__.apihelper_apiressource_2,2012-05-10,2012-06-30
__export__.apihelper_apifloraison_19,2012,__export__.apihelper_apiressource_5,2012-06-08,2012-06-29
__export__.apihelper_apifloraison_20,2012,__export__.apihelper_apiressource_4,2012-06-22,2012-07-14
__export__.apihelper_apifloraison_21,2011,__export__.apihelper_apiressource_1,2011-02-26,2011-03-23
__export__.apihelper_apifloraison_22,2011,__export__.apihelper_apiressource_2,2011-05-10,2011-06-30
__export__.apihelper_apifloraison_23,2011,__export__.apihelper_apiressource_5,2011-06-08,2011-06-29
__export__.apihelper_apifloraison_24,2011,__export__.apihelper_apiressource_4,2011-06-22,2011-07-14
