id,apiculteur/id,emplacement,proprietaire/id,ressource/id,actif
__export__.apihelper_apiterrain_1,base.res_partner_address_31,Chez Alex,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_2,base.res_partner_address_31,Theize,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_3,base.res_partner_address_31,lieu001,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_4,base.res_partner_address_31,lieu002,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_5,base.res_partner_address_31,lieu003,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_6,base.res_partner_address_31,lieu004,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_7,base.res_partner_address_31,lieu005,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_8,base.res_partner_address_31,lieu006,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_9,base.res_partner_address_31,lieu007,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_10,base.res_partner_address_31,lieu008,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_11,base.res_partner_address_31,lieu009,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_12,base.res_partner_address_31,lieu010,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_13,base.res_partner_address_31,lieu011,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_14,base.res_partner_address_31,lieu012,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_15,base.res_partner_address_31,lieu013,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_16,base.res_partner_address_31,lieu014,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_17,base.res_partner_address_31,lieu015,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_18,base.res_partner_address_31,lieu016,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_19,base.res_partner_address_31,lieu017,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_20,base.res_partner_address_31,lieu018,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_21,base.res_partner_address_31,lieu019,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_22,base.res_partner_address_31,lieu020,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_23,base.res_partner_address_31,lieu021,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_24,base.res_partner_address_31,lieu022,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_25,base.res_partner_address_31,lieu023,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_26,base.res_partner_address_31,lieu024,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_27,base.res_partner_address_31,lieu025,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_28,base.res_partner_address_31,lieu026,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_29,base.res_partner_address_31,lieu027,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_30,base.res_partner_address_31,lieu028,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_31,base.res_partner_address_31,lieu029,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_32,base.res_partner_address_31,lieu030,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_33,base.res_partner_address_31,lieu031,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_34,base.res_partner_address_31,lieu032,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_35,base.res_partner_address_31,lieu033,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_36,base.res_partner_address_31,lieu034,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_37,base.res_partner_address_31,lieu035,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_38,base.res_partner_address_31,lieu036,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_39,base.res_partner_address_31,lieu037,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_40,base.res_partner_address_31,lieu038,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_41,base.res_partner_address_31,lieu039,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_42,base.res_partner_address_31,lieu040,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_43,base.res_partner_address_31,lieu041,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
__export__.apihelper_apiterrain_44,base.res_partner_address_31,lieu042,base.res_partner_1,"__export__.apihelper_apiressource_1,__export__.apihelper_apiressource_2,__export__.apihelper_apiressource_3",True
__export__.apihelper_apiterrain_45,base.res_partner_address_31,lieu043,base.res_partner_address_27,"__export__.apihelper_apiressource_3,__export__.apihelper_apiressource_4",True
