id,date,personne/id,rucher/id,type,intitule
traitement_1,2015-09-08 12:00:00,base.res_partner_address_31,rucher_2,sanitaire,Anti Varoa
traitement_2,2014-09-08 12:00:00,base.res_partner_address_31,rucher_2,sanitaire,Anti Varoa
traitement_3,2013-09-08 12:00:00,base.res_partner_address_31,rucher_2,sanitaire,Anti Varoa
traitement_4,2012-09-08 12:00:00,base.res_partner_address_31,rucher_2,sanitaire,Anti Varoa
traitement_5,2011-09-08 12:00:00,base.res_partner_address_31,rucher_2,sanitaire,Anti Varoa
traitement_6,2010-09-08 12:00:00,base.res_partner_address_31,rucher_2,sanitaire,Anti Varoa
traitement_7,2016-09-08 12:00:00,base.res_partner_address_31,rucher_1,sanitaire,Anti Varoa
traitement_8,2015-09-08 12:00:00,base.res_partner_address_31,rucher_1,sanitaire,Anti Varoa
traitement_9,2014-09-08 12:00:00,base.res_partner_address_31,rucher_1,sanitaire,Anti Varoa
traitement_10,2013-09-08 12:00:00,base.res_partner_address_31,rucher_1,sanitaire,Anti Varoa
traitement_11,2012-09-08 12:00:00,base.res_partner_address_31,rucher_1,sanitaire,Anti Varoa
traitement_12,2011-09-08 12:00:00,base.res_partner_address_31,rucher_1,sanitaire,Anti Varoa
traitement_13,2010-09-08 12:00:00,base.res_partner_address_31,rucher_1,sanitaire,Anti Varoa
traitement_14,2016-09-08 12:00:00,base.res_partner_address_31,rucher_3,sanitaire,Anti Varoa
traitement_15,2015-09-08 12:00:00,base.res_partner_address_31,rucher_3,sanitaire,Anti Varoa
traitement_16,2014-09-08 12:00:00,base.res_partner_address_31,rucher_3,sanitaire,Anti Varoa
traitement_17,2013-09-08 12:00:00,base.res_partner_address_31,rucher_3,sanitaire,Anti Varoa
traitement_18,2012-09-08 12:00:00,base.res_partner_address_31,rucher_3,sanitaire,Anti Varoa
traitement_19,2011-09-08 12:00:00,base.res_partner_address_31,rucher_3,sanitaire,Anti Varoa
traitement_20,2010-09-08 12:00:00,base.res_partner_address_31,rucher_3,sanitaire,Anti Varoa
traitement_21,2016-09-08 12:00:00,base.res_partner_address_31,rucher_4,sanitaire,Anti Varoa
traitement_22,2015-09-08 12:00:00,base.res_partner_address_31,rucher_4,sanitaire,Anti Varoa
traitement_23,2014-09-08 12:00:00,base.res_partner_address_31,rucher_4,sanitaire,Anti Varoa
traitement_24,2013-09-08 12:00:00,base.res_partner_address_31,rucher_4,sanitaire,Anti Varoa
traitement_25,2012-09-08 12:00:00,base.res_partner_address_31,rucher_4,sanitaire,Anti Varoa
traitement_26,2011-09-08 12:00:00,base.res_partner_address_31,rucher_4,sanitaire,Anti Varoa
traitement_27,2010-09-08 12:00:00,base.res_partner_address_31,rucher_4,sanitaire,Anti Varoa
traitement_28,2015-09-08 12:00:00,base.res_partner_address_31,rucher_5,sanitaire,Anti Varoa
traitement_29,2015-09-08 12:00:00,base.res_partner_address_31,rucher_5,sanitaire,Anti Varoa
